Name,Date,Atoll,Site,Transect,Treatment,Tile,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label code
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1100,19,Off
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1012,302,_RDUP
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,858,44,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1100,42,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1107,390,_RDUP
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1211,301,CCAG
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,873,21,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1114,90,CCAG
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,919,509,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1024,781,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,892,515,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1082,550,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1169,504,CCAG
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1095,664,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1030,733,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1087,716,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1026,1140,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1044,908,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1075,1031,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1136,1159,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1045,976,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1055,1151,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,911,953,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,976,903,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,840,1360,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,904,1380,_RDEN
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,893,1214,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,975,1291,_CCA
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1129,1285,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,843,1399,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1096,1302,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1090,1267,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,840,1992,Off
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,969,1913,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1211,2009,Off
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,882,1908,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,980,1619,BareP
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1069,1862,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1068,1941,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,849,1998,Off
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1254,381,CCAG
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1614,121,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1615,10,Off
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1489,367,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1417,182,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1373,152,CCAG
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1550,69,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1337,391,_RDUP
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1234,772,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1255,713,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1497,489,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1479,482,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1524,434,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1318,442,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1402,433,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1495,503,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1596,1116,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1511,1006,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1564,812,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1545,1089,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1366,1156,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1543,1175,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1407,1063,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1282,999,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1456,1578,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1552,1546,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1533,1218,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,1551,1457,BareP
